rec;send;queue;id_1;id_2;mes_id
1587114428608;1587114428366;19;0;2;118
1587114428659;1587114428365;18;0;5;113
1587114429067;1587114428366;19;0;3;118
1587114429091;1587114428366;19;0;3;118
1587114429446;1587114428367;19;0;4;117
1587114429480;1587114428367;19;0;4;117
1587114432543;1587114432165;17;0;5;114
1587114432932;1587114432166;18;0;2;119
1587114432955;1587114432166;18;0;3;119
1587114432995;1587114432166;18;0;4;118
1587114436558;1587114436304;19;0;2;120
1587114436580;1587114436304;19;0;5;115
1587114436621;1587114436304;19;0;4;119
1587114437065;1587114436304;19;0;3;120
1587114437097;1587114436304;19;0;4;119
1587114440473;1587114440180;19;0;2;121
1587114440510;1587114440179;19;0;5;116
1587114440539;1587114440181;19;0;4;120
1587114440561;1587114440180;19;0;3;121
1587114440962;1587114440181;19;0;4;120
1587114440984;1587114440181;19;0;4;120
1587114444499;1587114444117;19;0;2;122
1587114444521;1587114444116;19;0;3;122
1587114444553;1587114444117;19;0;4;121
1587114444577;1587114444116;18;0;5;117
1587114448589;1587114448240;19;0;2;123
1587114448610;1587114448238;18;0;5;118
1587114448651;1587114448240;19;0;4;122
1587114449075;1587114448239;19;0;3;123
1587114452978;1587114452186;18;0;2;124
1587114452994;1587114452185;18;0;3;124
1587114453033;1587114452185;18;0;3;124
1587114453057;1587114452185;18;0;5;119
1587114453445;1587114452185;18;0;5;119
1587114453467;1587114452186;18;0;4;123
1587114456517;1587114456167;19;0;2;125
1587114456569;1587114456166;18;0;5;120
1587114456588;1587114456166;19;0;3;125
1587114456974;1587114456166;19;0;3;125
1587114457386;1587114456167;19;0;4;124
1587114460400;1587114460043;19;0;2;126
1587114460420;1587114460043;19;0;3;126
1587114460466;1587114460043;19;0;3;126
1587114460875;1587114460042;18;0;5;121
1587114460896;1587114460043;19;0;4;125
1587114463925;1587114463902;19;0;5;122
1587114464298;1587114463903;19;0;2;127
1587114464320;1587114463902;19;0;5;122
1587114464357;1587114463902;19;0;5;122
1587114464746;1587114463902;19;0;5;122
1587114464786;1587114463903;19;0;3;127
1587114464805;1587114463904;19;0;4;126
1587114467830;1587114467806;19;0;2;128
1587114467848;1587114467805;19;0;5;123
1587114467883;1587114467807;19;0;4;127
1587114467910;1587114467806;19;0;3;128
1587114468301;1587114467806;19;0;3;128
1587114472278;1587114471789;18;0;2;129
1587114472296;1587114471788;18;0;3;129
1587114472323;1587114471787;18;0;5;124
1587114473238;1587114471790;17;0;4;128
1587114475873;1587114475827;19;0;2;130
1587114475902;1587114475826;19;0;5;125
1587114475933;1587114475826;19;0;5;125
1587114476310;1587114475827;19;0;3;130
1587114476708;1587114475827;19;0;4;129
1587114479658;1587114479556;19;0;2;131
1587114479680;1587114479555;18;0;5;126
1587114479720;1587114479556;19;0;3;131
1587114480201;1587114479556;19;0;4;130
1587114483696;1587114483601;19;0;2;132
1587114483745;1587114483600;19;0;5;127
1587114483773;1587114483600;19;0;3;132
1587114484148;1587114483601;19;0;4;131
1587114484172;1587114483601;19;0;4;131
1587114487377;1587114487264;19;0;2;133
1587114487395;1587114487265;19;0;5;128
1587114487422;1587114487263;19;0;4;132
1587114487816;1587114487264;19;0;3;133
1587114491287;1587114491115;18;0;5;129
1587114491700;1587114491113;18;0;2;134
1587114491714;1587114491114;18;0;3;134
1587114492163;1587114491112;18;0;4;133
1587114495124;1587114494985;19;0;2;135
1587114495145;1587114494985;19;0;3;135
1587114495179;1587114494984;19;0;4;134
1587114495588;1587114494985;17;0;5;130
1587114499061;1587114498890;18;0;2;136
1587114499085;1587114498890;19;0;5;131
1587114499122;1587114498889;19;0;4;135
1587114499507;1587114498890;19;0;3;136
1587114501904;1587114501736;19;0;2;137
1587114501952;1587114501736;19;0;3;137
1587114502338;1587114501736;18;0;5;132
1587114502378;1587114501735;19;0;4;136
1587114502399;1587114501735;19;0;4;136
1587114505825;1587114505626;19;0;2;138
1587114505846;1587114505627;19;0;5;133
1587114505877;1587114505625;19;0;4;137
1587114506318;1587114505626;19;0;3;138
1587114509923;1587114509655;18;0;5;134
1587114510321;1587114509654;18;0;2;139
1587114510341;1587114509654;18;0;3;139
1587114510370;1587114509654;18;0;4;138
1587114510385;1587114509655;18;0;5;134
1587114513764;1587114513553;19;0;2;140
1587114513785;1587114513554;19;0;5;135
1587114513833;1587114513553;19;0;4;139
1587114514271;1587114513553;19;0;4;139
1587114514659;1587114513554;19;0;3;140
1587114517558;1587114517335;19;0;2;141
1587114517580;1587114517335;18;0;5;136
1587114517609;1587114517335;19;0;4;140
1587114517628;1587114517335;19;0;3;141
1587114521477;1587114521224;19;0;2;142
1587114521496;1587114521225;18;0;5;137
1587114521531;1587114521224;19;0;4;141
1587114521548;1587114521225;19;0;3;142
1587114525496;1587114525200;19;0;2;143
1587114525519;1587114525201;19;0;3;143
1587114525553;1587114525200;19;0;4;142
1587114525574;1587114525201;18;0;5;138
1587114525943;1587114525201;18;0;5;138
1587114529497;1587114529132;18;0;5;139
1587114529888;1587114529129;18;0;2;144
1587114529908;1587114529131;18;0;3;144
1587114529942;1587114529128;18;0;4;143
1587114533252;1587114532950;19;0;2;145
1587114533270;1587114532950;19;0;5;140
1587114533303;1587114532949;19;0;4;144
1587114533322;1587114532950;19;0;3;145
1587114536513;1587114536296;19;0;2;146
1587114536542;1587114536296;18;0;5;141
1587114536571;1587114536295;19;0;4;145
1587114536965;1587114536296;19;0;3;146
1587114536986;1587114536295;19;0;4;145
1587114539840;1587114539595;19;0;2;147
1587114539863;1587114539595;19;0;5;142
1587114539894;1587114539594;19;0;4;146
1587114540229;1587114539595;19;0;3;147
1587114542584;1587114542247;19;0;2;148
1587114542619;1587114542248;19;0;3;148
1587114542664;1587114542247;19;0;4;147
1587114542688;1587114542247;19;0;4;147
1587114543052;1587114542248;18;0;5;143
1587114546616;1587114546166;17;0;5;144
